index,new_url,old_url,name,position
7,phetchaburi2.mol.go.th,phetchaburi.mol.go.th,นายวิชาญ ม่วงใหม่,แรงงานจังหวัดเพชรบุรี
8,ratchaburi2.mol.go.th,ratchaburi.mol.go.th,นายภาณุวัฒน์ เพ็งแป้น,แรงงานจังหวัดราชบุรี
9,lopburi2.mol.go.th,lopburi.mol.go.th,นางสาวปาริชาติ สวนใจ,"แรงงานจังหวัดอุตรดิตถ์
รักษาราชการแทน
แรงงานจังหวัดลพบุรี"
13,saraburi2.mol.go.th,saraburi.mol.go.th,นางสาวรัฒนา ทองกลับ,แรงงานจังหวัดสระบุรี
14,singburi2.mol.go.th,singburi.mol.go.th,นางลัดดา  อุปสินธุ์,แรงงานจังหวัดสิงห์บุรี
15,suphanburi2.mol.go.th,suphanburi.mol.go.th,นายชัยยศ อยู่ทรัพย์,แรงงานจังหวัดสุพรรณบุรี
16,angthong2.mol.go.th,angthong.mol.go.th,นางสาวธีรานาฏ ปิยวินท์,แรงงานจังหวัดอ่างทอง
17,chanthaburi2.mol.go.th,chanthaburi.mol.go.th,นางประไพรรณ  ลุ่มจันทร์,แรงงานจังหวัดจันทบุรี
18,chachoengsao2.mol.go.th,chachoengsao.mol.go.th, นายมาโนช แสงประเสริฐ ,แรงงานจังหวัดฉะเชิงเทรา
20,trat2.mol.go.th,trat.mol.go.th,นางสมหมาย เทียมกัน,แรงงานจังหวัดตราด
21,nakhonnayok2.mol.go.th,nakhonnayok.mol.go.th,นายสมชาย เอื้อจารุพร,แรงงานจังหวัดนครนายก
22,prachinburi2.mol.go.th,prachinburi.mol.go.th,นางสาวอรวรรณ ผลิตาพร,แรงงานจังหวัดปราจีนบุรี
23,rayong2.mol.go.th,rayong.mol.go.th,นางสาวกรจิรัฏฐ์ พงจันทร์ศธร,แรงงานจังหวัดระยอง
24,sakaeo2.mol.go.th,sakaeo.mol.go.th,นายสิทธิศักดิ์ ธารนัย,แรงงานจังหวัดสระแก้ว
25,kalasin2.mol.go.th,kalasin.mol.go.th,นายสุชาติ วิชชาวุธ,แรงงานจังหวัดกาฬสินธุ์
26,khonkaen2.mol.go.th,khonkaen.mol.go.th,นายชิตชัย สมอุปฮาด,แรงงานจังหวัดขอนแก่น
28,nakhonphanom2.mol.go.th,nakhonphanom.mol.go.th,นายมนต์ชัย เดชพล,แรงงานจังหวัดนครพนม
29,nakhonratchasima2.mol.go.th,nakhonratchasima.mol.go.th,ร้อยเอกกิจสมพงษ์ กล้าหาญ,แรงงานจังหวัดนครราชสีมา
30,buengkan2.mol.go.th,buengkan.mol.go.th,นายวิสันติ์ ประเสริฐศรี,แรงงานจังหวัดบึงกาฬ
31,buriram2.mol.go.th,buriram.mol.go.th,นางมาลัยอร หิรัณยรัชต์,แรงงานจังหวัดบุรีรัมย์
32,mahasarakham2.mol.go.th,mahasarakham.mol.go.th,นายคเณศ พรตระกูลพิพัฒน์,แรงงานจังหวัดมหาสารคาม
33,mukdahan2.mol.go.th,mukdahan.mol.go.th,นางพรผกา ศิริบุรี,แรงงานจังหวัดมุกดาหาร
34,yasothon2.mol.go.th,yasothon.mol.go.th,นายนพดล จงสมชัย,แรงงานจังหวัดยโสธร
35,roiet2.mol.go.th,roiet.mol.go.th,นางสาวเลอลักษณ์ สุทธิสาโกมล,แรงงานจังหวัดร้อยเอ็ด
36,loei2.mol.go.th,loei.mol.go.th,นางสาวสุกัญญา องค์วิเศษไพบูลย์,แรงงานจังหวัดเลย
37,sisaket2.mol.go.th,sisaket.mol.go.th,นางณัฐกฤตา ดาหาร,แรงงานจังหวัดศรีสะเกษ
38,sakonnakhon2.mol.go.th,sakonnakhon.mol.go.th,นางสาววิไลวรรณ เทียงดาห์,แรงงานจังหวัดสกลนคร
39,surin2.mol.go.th,surin.mol.go.th,นางอรวรรณ หินตะ,แรงงานจังหวัดสุรินทร์
40,nongkhai2.mol.go.th,nongkhai.mol.go.th,นางสาววรรณกานต์ ขาวลาภ,แรงงานจังหวัดหนองคาย
41,nongbualamphu2.mol.go.th,nongbualamphu.mol.go.th,นายอำนาจ เชิงไว,แรงงานจังหวัดหนองบัวลำภู
42,amnatcharoen2.mol.go.th,amnatcharoen.mol.go.th,นายบวร ดรุณสนธยา,แรงงานจังหวัดอำนาจเจริญ
43,udonthani2.mol.go.th,udonthani.mol.go.th,นายอำพัน เอกทัตร,แรงานจังหวัดอุดรธานี
44,ubonratchathani2.mol.go.th,ubonratchathani.mol.go.th,-,แรงงานจังหวัดอุบลราชธานี
45,kamphaengphet2.mol.go.th,kamphaengphet.mol.go.th,นางสาวยุพิน มูลจันทะ,แรงงานจังหวัดกำแพงเพชร
46,phetchabun2.mol.go.th,phetchabun.mol.go.th,นายเอกพันธุ์ จิระสถิตย์,"แรงงานจังหวัดแม่ฮ่องสอน
รักษาราชการแทน 
แรงงงานจังหวัดเพชรบูรณ์"
48,chiangmai2.mol.go.th,chiangmai.mol.go.th,นายมนูญ สุขศรีจันทร์,แรงงานจังหวัดเชียงใหม่
49,tak2.mol.go.th,tak.mol.go.th,นางสาวนมิตา วายนต์,แรงงานจังหวัดตาก
50,nakhonsawan2.mol.go.th,nakhonsawan.mol.go.th,นางพัฒนา พันธุฟัก,แรงงานจังหวัดนครสวรรค์
51,nan2.mol.go.th,nan.mol.go.th,นายจีรวุฒิ กันทะมัง,แรงงานจังหวัดน่าน
52,phayao2.mol.go.th,phayao.mol.go.th,นางสุวรา พงศ์ปัญญาเนตร,แรงงานจังหวัดพะเยา
53,phichit2.mol.go.th,phichit.mol.go.th,นายสุชัย ชาญวิกย์การ,แรงงานจังหวัดพิจิตร
54,phitsanulok2.mol.go.th,phitsanulok.mol.go.th,นายเกียรติพงษ์ แสนยากุล,แรงงานจังหวัดพิษณุโลก
55,phrae2.mol.go.th,phrae.mol.go.th,นางสาวปราณี ชลารักษ์,แรงงานจังหวัดแพร่
56,maehongson2.mol.go.th,maehongson.mol.go.th,นางสาวอรทัย วงศ์ไชย,แรงงานจังหวัดแม่ฮ่องสอน
57,lampang2.mol.go.th,lampang.mol.go.th,นางจารุณี เขมะรังษี,แรงงานจังหวัดลำปาง
58,lamphun2.mol.go.th,lamphun.mol.go.th,นางสาวอัญณิการ์ นิศาภากร,แรงงานจังหวัดลำพูน
59,sukhothai2.mol.go.th,sukhothai.mol.go.th,พันจ่าเอกไพทูรย์ น่วมสวัสดิ์,แรงงานจังหวัดสุโขทัย
61,uthaithani2.mol.go.th,uthaithani.mol.go.th,นางศุภลักษณ์ ศรุติรัตน์วรกุล,แรงงานจังหวัดอุทัยธานี
62,krabi2.mol.go.th,krabi.mol.go.th,นางสาวหทัยชนก พูลศิริ,แรงงานจังหวัดกระบี่
63,chumphon2.mol.go.th,chumphon.mol.go.th,นางสาวกานต์กมล ชุมภูทอง,แรงงานจังหวัดชุมพร
68,phangnga2.mol.go.th,phangnga.mol.go.th,นางวิมุตติยา อาวุธเทวินทร์,แรงงานจังหวัดพังงา
69,phatthalung2.mol.go.th,phatthalung.mol.go.th,นางอมรวรรณ ช่วงเพ็ชจินดา,แรงงานจังหวัดพัทลุง
71,yala2.mol.go.th,yala.mol.go.th,นางสาวมาลี ขวัญเจริญ,แรงงานจังหวัดยะลา
72,ranong2.mol.go.th,ranong.mol.go.th,นายสุรนารถ จิตต์เอื้อเฟื้อ,แรงงานจังหวัดระนอง
73,songkhla2.mol.go.th,songkhla.mol.go.th,นายนิยม สองแก้ว,แรงงานจังหวัดสงขลา
74,satun2.mol.go.th,satun.mol.go.th,นายสะนิ เหมหีม,แรงงานจังหวัดสตูล
75,suratthani2.mol.go.th,suratthani.mol.go.th,นางสาวอารีย์ การธิโร,แรงงานจังหวัดสุราษฎร์ธานี
