new_url,old_url
kanchanaburi2.mol.go.th,kanchanaburi.mol.go.th
chainat2.mol.go.th,chainat.mol.go.th
nakhonpathom2.mol.go.th,nakhonpathom.mol.go.th
nonthaburi2.mol.go.th,nonthaburi.mol.go.th
pathumthani2.mol.go.th,pathumthani.mol.go.th
prachuapkhirikhan2.mol.go.th,prachuapkhirikhan.mol.go.th
ayutthaya2.mol.go.th,ayutthaya.mol.go.th
phetchaburi2.mol.go.th,phetchaburi.mol.go.th
ratchaburi2.mol.go.th,ratchaburi.mol.go.th
lopburi2.mol.go.th,lopburi.mol.go.th
samutprakan2.mol.go.th,samutprakan.mol.go.th
samutsongkhram2.mol.go.th,samutsongkhram.mol.go.th
samutsakhon2.mol.go.th,samutsakhon.mol.go.th
saraburi2.mol.go.th,saraburi.mol.go.th
singburi2.mol.go.th,singburi.mol.go.th
suphanburi2.mol.go.th,suphanburi.mol.go.th
angthong2.mol.go.th,angthong.mol.go.th
chanthaburi2.mol.go.th,chanthaburi.mol.go.th
chachoengsao2.mol.go.th,chachoengsao.mol.go.th
chonburi2.mol.go.th,chonburi.mol.go.th
trat2.mol.go.th,trat.mol.go.th
nakhonnayok2.mol.go.th,nakhonnayok.mol.go.th
prachinburi2.mol.go.th,prachinburi.mol.go.th
rayong2.mol.go.th,rayong.mol.go.th
sakaeo2.mol.go.th,sakaeo.mol.go.th
kalasin2.mol.go.th,kalasin.mol.go.th
khonkaen2.mol.go.th,khonkaen.mol.go.th
chaiyaphum2.mol.go.th,chaiyaphum.mol.go.th
nakhonphanom2.mol.go.th,nakhonphanom.mol.go.th
nakhonratchasima2.mol.go.th,nakhonratchasima.mol.go.th
buengkan2.mol.go.th,buengkan.mol.go.th
buriram2.mol.go.th,buriram.mol.go.th
mahasarakham2.mol.go.th,mahasarakham.mol.go.th
mukdahan2.mol.go.th,mukdahan.mol.go.th
yasothon2.mol.go.th,yasothon.mol.go.th
roiet2.mol.go.th,roiet.mol.go.th
loei2.mol.go.th,loei.mol.go.th
sisaket2.mol.go.th,sisaket.mol.go.th
sakonnakhon2.mol.go.th,sakonnakhon.mol.go.th
surin2.mol.go.th,surin.mol.go.th
nongkhai2.mol.go.th,nongkhai.mol.go.th
nongbualamphu2.mol.go.th,nongbualamphu.mol.go.th
amnatcharoen2.mol.go.th,amnatcharoen.mol.go.th
udonthani2.mol.go.th,udonthani.mol.go.th
ubonratchathani2.mol.go.th,ubonratchathani.mol.go.th
kamphaengphet2.mol.go.th,kamphaengphet.mol.go.th
phetchabun2.mol.go.th,phetchabun.mol.go.th
chiangrai2.mol.go.th,chiangrai.mol.go.th
chiangmai2.mol.go.th,chiangmai.mol.go.th
tak2.mol.go.th,tak.mol.go.th
nakhonsawan2.mol.go.th,nakhonsawan.mol.go.th
nan2.mol.go.th,nan.mol.go.th
phayao2.mol.go.th,phayao.mol.go.th
phichit2.mol.go.th,phichit.mol.go.th
phitsanulok2.mol.go.th,phitsanulok.mol.go.th
phrae2.mol.go.th,phrae.mol.go.th
maehongson2.mol.go.th,maehongson.mol.go.th
lampang2.mol.go.th,lampang.mol.go.th
lamphun2.mol.go.th,lamphun.mol.go.th
sukhothai2.mol.go.th,sukhothai.mol.go.th
uttaradit2.mol.go.th,uttaradit.mol.go.th
uthaithani2.mol.go.th,uthaithani.mol.go.th
krabi2.mol.go.th,krabi.mol.go.th
chumphon2.mol.go.th,chumphon.mol.go.th
trang2.mol.go.th,trang.mol.go.th
nakhonsithammarat2.mol.go.th,nakhonsithammarat.mol.go.th
narathiwat2.mol.go.th,narathiwat.mol.go.th
pattani2.mol.go.th,pattani.mol.go.th
phangnga2.mol.go.th,phangnga.mol.go.th
phatthalung2.mol.go.th,phatthalung.mol.go.th
phuket2.mol.go.th,phuket.mol.go.th
yala2.mol.go.th,yala.mol.go.th
ranong2.mol.go.th,ranong.mol.go.th
songkhla2.mol.go.th,songkhla.mol.go.th
satun2.mol.go.th,satun.mol.go.th
suratthani2.mol.go.th,suratthani.mol.go.th
